iter	Logloss	Accuracy
0	0.6818956922	0.8098987627
1	0.6732448719	0.8076490439
2	0.6643550821	0.8087739033
3	0.6579215576	0.8076490439
4	0.6511565556	0.7941507312
5	0.6438965253	0.7930258718
6	0.6362263178	0.7941507312
7	0.6288343203	0.7952755906
8	0.6226121481	0.7930258718
9	0.6157532149	0.7930258718
10	0.6099519763	0.7930258718
11	0.6022037404	0.8065241845
12	0.5958382934	0.8065241845
13	0.5907591424	0.8020247469
14	0.5848312419	0.8065241845
15	0.5790461554	0.8087739033
16	0.5758410045	0.8076490439
17	0.5727477924	0.8008998875
18	0.5673656366	0.8065241845
19	0.5632020918	0.8020247469
20	0.5588384422	0.8031496063
21	0.5552637244	0.8020247469
22	0.5523589058	0.8020247469
23	0.5476135471	0.8076490439
24	0.5429209585	0.8087739033
25	0.5396053217	0.8087739033
26	0.5349970522	0.811023622
27	0.532450085	0.8087739033
28	0.5291558121	0.8087739033
29	0.5271738021	0.8087739033
30	0.5224851813	0.8087739033
31	0.520428514	0.8087739033
32	0.5173615682	0.8087739033
33	0.5146751725	0.8087739033
34	0.5139386018	0.8087739033
35	0.5118292622	0.8087739033
36	0.5092075752	0.8087739033
37	0.5072552842	0.8098987627
38	0.504796885	0.8121484814
39	0.5024349046	0.8121484814
40	0.5009996245	0.8098987627
41	0.4991867983	0.8121484814
42	0.4970179471	0.8132733408
43	0.4958349421	0.8121484814
44	0.4941607571	0.8132733408
45	0.4927130975	0.8121484814
46	0.4903425642	0.811023622
47	0.4878653104	0.8121484814
48	0.486127307	0.8121484814
49	0.4852117813	0.811023622
50	0.482797871	0.8132733408
51	0.4797295283	0.8132733408
52	0.4771365125	0.8143982002
53	0.4762310977	0.8143982002
54	0.4740531752	0.8132733408
55	0.4725986638	0.8132733408
56	0.4715496439	0.8132733408
57	0.4708204736	0.8132733408
58	0.4693188113	0.8143982002
59	0.4668086214	0.816647919
60	0.4659932628	0.8155230596
61	0.465067155	0.8155230596
62	0.4630586613	0.816647919
63	0.4622456515	0.816647919
64	0.4616980725	0.816647919
65	0.4613228321	0.816647919
66	0.4597696436	0.816647919
67	0.4592657937	0.816647919
68	0.4587789999	0.816647919
69	0.4576528022	0.816647919
70	0.4564693246	0.816647919
71	0.4558303857	0.816647919
72	0.4551322489	0.816647919
73	0.4546052511	0.816647919
74	0.4541752398	0.8155230596
